State,Measures,Year of Year,Values
Kansas,Highway vehicle-miles traveled (millions),2014,30709.71729
Kansas,Licensed drivers,2014,2021271
Kansas,Highway vehicle-miles traveled (millions),2013,30208.2842
Kansas,Licensed drivers,2013,2017759
Kansas,Highway vehicle-miles traveled (millions),2012,30572.47519
Kansas,Licensed drivers,2012,2018029
Kansas,Highway vehicle-miles traveled (millions),2011,30021.24703
Kansas,Licensed drivers,2011,2025581
Kansas,Highway vehicle-miles traveled (millions),2010,29899.65838
Kansas,Licensed drivers,2010,2033092
Kentucky,Highway vehicle-miles traveled (millions),2021,48111.36861
Kentucky,Licensed drivers,2021,2980331
Kentucky,Highway vehicle-miles traveled (millions),2020,46535.80644
Kentucky,Licensed drivers,2020,2905632
Kentucky,Highway vehicle-miles traveled (millions),2019,49410.33181
Kentucky,Licensed drivers,2019,3030329
Kentucky,Highway vehicle-miles traveled (millions),2018,49543.60624
Kentucky,Licensed drivers,2018,3032530
Kentucky,Person miles (millions),2017,131022
Kentucky,Person trips (millions),2017,11722
Kentucky,Persons traveling (thousands),2017,8890
Kentucky,Highway vehicle-miles traveled (millions),2017,49239.3341
Kentucky,Licensed drivers,2017,3019008
Kentucky,Highway vehicle-miles traveled (millions),2016,49313
Kentucky,Licensed drivers,2016,3031447
Kentucky,Highway vehicle-miles traveled (millions),2015,48674.69601
Kentucky,Licensed drivers,2015,3021266
Kentucky,Highway vehicle-miles traveled (millions),2014,47940.63478
Kentucky,Licensed drivers,2014,3004919
Kentucky,Highway vehicle-miles traveled (millions),2013,46995.99686
Kentucky,Licensed drivers,2013,3019283
Kentucky,Highway vehicle-miles traveled (millions),2012,47343.94452
Kentucky,Licensed drivers,2012,2985234
Kentucky,Highway vehicle-miles traveled (millions),2011,48061.31448
Kentucky,Licensed drivers,2011,2959881
Kentucky,Highway vehicle-miles traveled (millions),2010,48006.7429
Kentucky,Licensed drivers,2010,2950191
Louisiana,Highway vehicle-miles traveled (millions),2021,54727.65668
Louisiana,Licensed drivers,2021,3437733
Louisiana,Highway vehicle-miles traveled (millions),2020,48374.10643
Louisiana,Licensed drivers,2020,3416648
Louisiana,Highway vehicle-miles traveled (millions),2019,51360.30324
Louisiana,Licensed drivers,2019,3435168
Louisiana,Highway vehicle-miles traveled (millions),2018,50045.42745
Louisiana,Licensed drivers,2018,3425435
Louisiana,Person miles (millions),2017,81590
Louisiana,Person trips (millions),2017,10598
Louisiana,Persons traveling (thousands),2017,7658
Louisiana,Highway vehicle-miles traveled (millions),2017,49220.89766
Louisiana,Licensed drivers,2017,3425656
Louisiana,Highway vehicle-miles traveled (millions),2016,49156
Louisiana,Licensed drivers,2016,3395095
Louisiana,Highway vehicle-miles traveled (millions),2015,48180.25257
Louisiana,Licensed drivers,2015,3357091
Louisiana,Highway vehicle-miles traveled (millions),2014,48251.73611
Louisiana,Licensed drivers,2014,3312630
Louisiana,Highway vehicle-miles traveled (millions),2013,47757.96708
Louisiana,Licensed drivers,2013,3278143
Louisiana,Highway vehicle-miles traveled (millions),2012,46889.04026
Louisiana,Licensed drivers,2012,2923744
Louisiana,Highway vehicle-miles traveled (millions),2011,46512.71124
Louisiana,Licensed drivers,2011,3186227
Louisiana,Highway vehicle-miles traveled (millions),2010,45438.69082
Louisiana,Licensed drivers,2010,3133631
Maine,Highway vehicle-miles traveled (millions),2021,14559.825
Maine,Licensed drivers,2021,1056535
Maine,Highway vehicle-miles traveled (millions),2020,13086.41725
Maine,Licensed drivers,2020,1047893
Maine,Highway vehicle-miles traveled (millions),2019,14871.46816
Maine,Licensed drivers,2019,1046129
Maine,Highway vehicle-miles traveled (millions),2018,14783.55489
Maine,Licensed drivers,2018,1040582
Maine,Person miles (millions),2017,39812
Maine,Person trips (millions),2017,3694
Maine,Persons traveling (thousands),2017,3222
Maine,Highway vehicle-miles traveled (millions),2017,14738.11789
Maine,Licensed drivers,2017,1032703
Maine,Highway vehicle-miles traveled (millions),2016,14838
Maine,Licensed drivers,2016,1021332
Maine,Highway vehicle-miles traveled (millions),2015,14629.43917
Maine,Licensed drivers,2015,1019879
Maine,Highway vehicle-miles traveled (millions),2014,14301.4973
Maine,Licensed drivers,2014,1018918
Maine,Highway vehicle-miles traveled (millions),2013,14129.25004
Maine,Licensed drivers,2013,1011385
Maine,Highway vehicle-miles traveled (millions),2012,14198.8263
Maine,Licensed drivers,2012,1008190
Maine,Highway vehicle-miles traveled (millions),2011,14248.22904
Maine,Licensed drivers,2011,1014826
Maine,Highway vehicle-miles traveled (millions),2010,14549.3831
Maine,Licensed drivers,2010,1019738
Maryland,Highway vehicle-miles traveled (millions),2021,56601.20181
Maryland,Licensed drivers,2021,4439757
Maryland,Highway vehicle-miles traveled (millions),2020,50885.12383
Maryland,Licensed drivers,2020,4454266
Maryland,Highway vehicle-miles traveled (millions),2019,60215.89374
Maryland,Licensed drivers,2019,4463862
Maryland,Highway vehicle-miles traveled (millions),2018,59775.43547
Maryland,Licensed drivers,2018,4407973
Maryland,Person miles (millions),2017,173182
Maryland,Person trips (millions),2017,13652
Maryland,Persons traveling (thousands),2017,11300
Maryland,Highway vehicle-miles traveled (millions),2017,60044.56432
Maryland,Licensed drivers,2017,4329503
Maryland,Highway vehicle-miles traveled (millions),2016,59137
Maryland,Licensed drivers,2016,4264875
Maryland,Highway vehicle-miles traveled (millions),2015,57515.82372
Maryland,Licensed drivers,2015,4185752
Maryland,Highway vehicle-miles traveled (millions),2014,56431.74512
Maryland,Licensed drivers,2014,4142997
Maryland,Highway vehicle-miles traveled (millions),2013,56687.63974
Maryland,Licensed drivers,2013,4140105
Maryland,Highway vehicle-miles traveled (millions),2012,56475.58826
Maryland,Licensed drivers,2012,4102154
Maryland,Highway vehicle-miles traveled (millions),2011,56220.50652
Maryland,Licensed drivers,2011,3856604
Maryland,Highway vehicle-miles traveled (millions),2010,56125.52196
Maryland,Licensed drivers,2010,3918305
Massachusetts,Highway vehicle-miles traveled (millions),2021,59114.98426
Massachusetts,Licensed drivers,2021,4899931
Massachusetts,Highway vehicle-miles traveled (millions),2020,54126.82558
Massachusetts,Licensed drivers,2020,4940373
Massachusetts,Highway vehicle-miles traveled (millions),2019,64889.78224
Massachusetts,Licensed drivers,2019,4950056
Massachusetts,Highway vehicle-miles traveled (millions),2018,66771.98073
Massachusetts,Licensed drivers,2018,4935176
Massachusetts,Person miles (millions),2017,141132
Massachusetts,Person trips (millions),2017,16792
Massachusetts,Persons traveling (thousands),2017,12382
Massachusetts,Highway vehicle-miles traveled (millions),2017,62660.41137
Massachusetts,Licensed drivers,2017,4935176
Massachusetts,Highway vehicle-miles traveled (millions),2016,61825
Massachusetts,Licensed drivers,2016,5040662
Massachusetts,Highway vehicle-miles traveled (millions),2015,59257.48057
Massachusetts,Licensed drivers,2015,5040662
Massachusetts,Highway vehicle-miles traveled (millions),2014,57552.34578
Massachusetts,Licensed drivers,2014,4765586
Massachusetts,Highway vehicle-miles traveled (millions),2013,56311.17282
Massachusetts,Licensed drivers,2013,4765586
Massachusetts,Highway vehicle-miles traveled (millions),2012,55939.71675
Massachusetts,Licensed drivers,2012,4733936
Massachusetts,Highway vehicle-miles traveled (millions),2011,54791.71248
Massachusetts,Licensed drivers,2011,4683322.97
Massachusetts,Highway vehicle-miles traveled (millions),2010,54361.98633
Massachusetts,Licensed drivers,2010,4592500
Michigan,Highway vehicle-miles traveled (millions),2021,96744.48614
Michigan,Licensed drivers,2021,7982471
Michigan,Highway vehicle-miles traveled (millions),2020,86546.99493
Michigan,Licensed drivers,2020,7026650
Michigan,Highway vehicle-miles traveled (millions),2019,102173.7175
Michigan,Licensed drivers,2019,7141494
Michigan,Highway vehicle-miles traveled (millions),2018,102397.5575
Michigan,Licensed drivers,2018,7153645
Michigan,Person miles (millions),2017,246196
Michigan,Person trips (millions),2017,22946
Michigan,Persons traveling (thousands),2017,18520
Michigan,Highway vehicle-miles traveled (millions),2017,101757.1987
Michigan,Licensed drivers,2017,7095778
Michigan,Highway vehicle-miles traveled (millions),2016,99433
Michigan,Licensed drivers,2016,7074674
Michigan,Highway vehicle-miles traveled (millions),2015,97843.1965
Michigan,Licensed drivers,2015,7104484
Michigan,Highway vehicle-miles traveled (millions),2014,97384.02233
Michigan,Licensed drivers,2014,7046433
Michigan,Highway vehicle-miles traveled (millions),2013,95131.56498
Michigan,Licensed drivers,2013,6986587
Michigan,Highway vehicle-miles traveled (millions),2012,94547.98654
Michigan,Licensed drivers,2012,7018713
Michigan,Highway vehicle-miles traveled (millions),2011,94754.26973
Michigan,Licensed drivers,2011,7059509
Michigan,Highway vehicle-miles traveled (millions),2010,97567.36027
Michigan,Licensed drivers,2010,7083107
Minnesota,Highway vehicle-miles traveled (millions),2021,57171.10937
Minnesota,Licensed drivers,2021,4143272
Minnesota,Highway vehicle-miles traveled (millions),2020,51619.44114
Minnesota,Licensed drivers,2020,4090264
Minnesota,Highway vehicle-miles traveled (millions),2019,60730.9811
Minnesota,Licensed drivers,2019,3391057
Minnesota,Highway vehicle-miles traveled (millions),2018,60438.31409
Minnesota,Licensed drivers,2018,3391057
Minnesota,Person miles (millions),2017,225124
Minnesota,Person trips (millions),2017,14338
Minnesota,Persons traveling (thousands),2017,11630
Minnesota,Highway vehicle-miles traveled (millions),2017,59970.85392
Minnesota,Licensed drivers,2017,3394815
Minnesota,Highway vehicle-miles traveled (millions),2016,59029
Minnesota,Licensed drivers,2016,3377910
Minnesota,Highway vehicle-miles traveled (millions),2015,57394.87167
Minnesota,Licensed drivers,2015,3351430
Minnesota,Highway vehicle-miles traveled (millions),2014,57394.87165
Minnesota,Licensed drivers,2014,3357468
Minnesota,Highway vehicle-miles traveled (millions),2013,56974.04513
Minnesota,Licensed drivers,2013,3330725
Minnesota,Highway vehicle-miles traveled (millions),2012,56988.31803
Minnesota,Licensed drivers,2012,3321760
Minnesota,Highway vehicle-miles traveled (millions),2011,56684.71798
Minnesota,Licensed drivers,2011,3306139
Minnesota,Highway vehicle-miles traveled (millions),2010,56631.67446
Minnesota,Licensed drivers,2010,3281463
Mississippi,Highway vehicle-miles traveled (millions),2021,40852.82524
Mississippi,Licensed drivers,2021,2032775
Mississippi,Highway vehicle-miles traveled (millions),2020,39665.08749
Mississippi,Licensed drivers,2020,2017111
Mississippi,Highway vehicle-miles traveled (millions),2019,41090.91055
Mississippi,Licensed drivers,2019,2058036
Mississippi,Highway vehicle-miles traveled (millions),2018,40730.43949
Mississippi,Licensed drivers,2018,2058036
Mississippi,Person miles (millions),2017,76208
Mississippi,Person trips (millions),2017,6582
Mississippi,Persons traveling (thousands),2017,5640
Mississippi,Highway vehicle-miles traveled (millions),2017,40877.09802
Mississippi,Licensed drivers,2017,2053924
Mississippi,Highway vehicle-miles traveled (millions),2016,40755
Mississippi,Licensed drivers,2016,2018862
Mississippi,Highway vehicle-miles traveled (millions),2015,39890.36248
Mississippi,Licensed drivers,2015,1988396
Mississippi,Highway vehicle-miles traveled (millions),2014,39499.19021
Mississippi,Licensed drivers,2014,1977679
Mississippi,Highway vehicle-miles traveled (millions),2013,38757.69339
Mississippi,Licensed drivers,2013,1968907
Mississippi,Highway vehicle-miles traveled (millions),2012,38667.12981
Mississippi,Licensed drivers,2012,1957980
Mississippi,Highway vehicle-miles traveled (millions),2011,38850.7218
Mississippi,Licensed drivers,2011,1926603
Mississippi,Highway vehicle-miles traveled (millions),2010,39841.02978
Mississippi,Licensed drivers,2010,1928487
Missouri,Highway vehicle-miles traveled (millions),2021,79790.92724
Missouri,Licensed drivers,2021,4275228
Missouri,Highway vehicle-miles traveled (millions),2020,72797.03699
Missouri,Licensed drivers,2020,4259672
Missouri,Highway vehicle-miles traveled (millions),2019,79168.24988
Missouri,Licensed drivers,2019,4274389
Missouri,Highway vehicle-miles traveled (millions),2018,76594.99928
Missouri,Licensed drivers,2018,4272960
Missouri,Person miles (millions),2017,118102
Missouri,Person trips (millions),2017,12208
Missouri,Persons traveling (thousands),2017,9966
Missouri,Highway vehicle-miles traveled (millions),2017,75911.31624
Missouri,Licensed drivers,2017,4274784
Missouri,Highway vehicle-miles traveled (millions),2016,74019
Missouri,Licensed drivers,2016,4249579
Missouri,Highway vehicle-miles traveled (millions),2015,71917.51859
Missouri,Licensed drivers,2015,4213302
Missouri,Highway vehicle-miles traveled (millions),2014,70909.03657
Missouri,Licensed drivers,2014,4295224
Missouri,Highway vehicle-miles traveled (millions),2013,69458.42184
Missouri,Licensed drivers,2013,4280438
Missouri,Highway vehicle-miles traveled (millions),2012,68503.68445
Missouri,Licensed drivers,2012,4288488
Missouri,Highway vehicle-miles traveled (millions),2011,68789.22335
Missouri,Licensed drivers,2011,4277037
Missouri,Highway vehicle-miles traveled (millions),2010,70863.99668
Missouri,Licensed drivers,2010,4246249
Montana,Highway vehicle-miles traveled (millions),2021,13481.66866
Montana,Licensed drivers,2021,856696
Montana,Highway vehicle-miles traveled (millions),2020,12104.09134
Montana,Licensed drivers,2020,826754
Montana,Highway vehicle-miles traveled (millions),2019,12891.94753
Montana,Licensed drivers,2019,811851
Montana,Highway vehicle-miles traveled (millions),2018,12699.63599
Montana,Licensed drivers,2018,806204
Montana,Person miles (millions),2017,30914
Montana,Person trips (millions),2017,2592
Montana,Persons traveling (thousands),2017,2218
Montana,Highway vehicle-miles traveled (millions),2017,12644.67236
Montana,Licensed drivers,2017,807259
Montana,Highway vehicle-miles traveled (millions),2016,12599
Montana,Licensed drivers,2016,797145
Montana,Highway vehicle-miles traveled (millions),2015,12345.07126
Montana,Licensed drivers,2015,781427
Montana,Highway vehicle-miles traveled (millions),2014,12157.12895
Montana,Licensed drivers,2014,768703
Montana,Highway vehicle-miles traveled (millions),2013,12032.72721
Montana,Licensed drivers,2013,766716
Montana,Highway vehicle-miles traveled (millions),2012,11885.12375
Montana,Licensed drivers,2012,757812
Montana,Highway vehicle-miles traveled (millions),2011,11659.59807
Montana,Licensed drivers,2011,752483
Montana,Highway vehicle-miles traveled (millions),2010,11189.80595
Montana,Licensed drivers,2010,743611
Nebraska,Highway vehicle-miles traveled (millions),2021,21209.66629
Nebraska,Licensed drivers,2021,1438842
Nebraska,Highway vehicle-miles traveled (millions),2020,19431.86472
Nebraska,Licensed drivers,2020,1438821
Nebraska,Highway vehicle-miles traveled (millions),2019,21241.79216
Nebraska,Licensed drivers,2019,1430818
Nebraska,Highway vehicle-miles traveled (millions),2018,20974.73509
Nebraska,Licensed drivers,2018,1420317
Nebraska,Person miles (millions),2017,36694
Nebraska,Person trips (millions),2017,4422
Nebraska,Persons traveling (thousands),2017,3478
Nebraska,Highway vehicle-miles traveled (millions),2017,21002.01479
Nebraska,Licensed drivers,2017,1404479
Nebraska,Highway vehicle-miles traveled (millions),2016,20700
Nebraska,Licensed drivers,2016,1404479
Nebraska,Highway vehicle-miles traveled (millions),2015,20100.95861
Nebraska,Licensed drivers,2015,1394301
Nebraska,Highway vehicle-miles traveled (millions),2014,19612.58157
Nebraska,Licensed drivers,2014,1383693
Nebraska,Highway vehicle-miles traveled (millions),2013,19321.5614
Nebraska,Licensed drivers,2013,1374529
Nebraska,Highway vehicle-miles traveled (millions),2012,19276.55085
Nebraska,Licensed drivers,2012,1363596
Nebraska,Highway vehicle-miles traveled (millions),2011,19093.31857
Nebraska,Licensed drivers,2011,1356377
Nebraska,Highway vehicle-miles traveled (millions),2010,19437.95166
Nebraska,Licensed drivers,2010,1351516
Nevada,Highway vehicle-miles traveled (millions),2021,27076.608
Nevada,Licensed drivers,2021,2150707
Nevada,Highway vehicle-miles traveled (millions),2020,25231.34636
Nevada,Licensed drivers,2020,2056394
Nevada,Highway vehicle-miles traveled (millions),2019,28793.73743
Nevada,Licensed drivers,2019,2054421
Nevada,Highway vehicle-miles traveled (millions),2018,28319.01217
Nevada,Licensed drivers,2018,1983453
Nevada,Person miles (millions),2017,41746
Nevada,Person trips (millions),2017,5428
Nevada,Persons traveling (thousands),2017,4480
Nevada,Highway vehicle-miles traveled (millions),2017,27587.00971
Nevada,Licensed drivers,2017,1918305
Nevada,Highway vehicle-miles traveled (millions),2016,26788
Nevada,Licensed drivers,2016,1872376
Nevada,Highway vehicle-miles traveled (millions),2015,25925.4421
Nevada,Licensed drivers,2015,1835511
Nevada,Highway vehicle-miles traveled (millions),2014,25301.90126
Nevada,Licensed drivers,2014,1796443
Nevada,Highway vehicle-miles traveled (millions),2013,24649.41667
Nevada,Licensed drivers,2013,1756095
Nevada,Highway vehicle-miles traveled (millions),2012,24148.28844
Nevada,Licensed drivers,2012,1728060
Nevada,Highway vehicle-miles traveled (millions),2011,24189.31581
Nevada,Licensed drivers,2011,1700829
Nevada,Highway vehicle-miles traveled (millions),2010,22201.41949
Nevada,Licensed drivers,2010,1691318
New Hampshire,Highway vehicle-miles traveled (millions),2021,13129.80771
New Hampshire,Licensed drivers,2021,1174826
New Hampshire,Highway vehicle-miles traveled (millions),2020,11956.25576
New Hampshire,Licensed drivers,2020,1060381
New Hampshire,Highway vehicle-miles traveled (millions),2019,13828.12148
New Hampshire,Licensed drivers,2019,1195211
New Hampshire,Highway vehicle-miles traveled (millions),2018,13776.47306
New Hampshire,Licensed drivers,2018,1161665
New Hampshire,Person miles (millions),2017,35184
New Hampshire,Person trips (millions),2017,3592
New Hampshire,Persons traveling (thousands),2017,2838
New Hampshire,Highway vehicle-miles traveled (millions),2017,13681.37663
New Hampshire,Licensed drivers,2017,1103624
New Hampshire,Highway vehicle-miles traveled (millions),2016,13513
New Hampshire,Licensed drivers,2016,1096234
New Hampshire,Highway vehicle-miles traveled (millions),2015,13093.74176
New Hampshire,Licensed drivers,2015,1074766
New Hampshire,Highway vehicle-miles traveled (millions),2014,12970.40852
New Hampshire,Licensed drivers,2014,1071963
New Hampshire,Highway vehicle-miles traveled (millions),2013,12902.81476
New Hampshire,Licensed drivers,2013,1061433
New Hampshire,Highway vehicle-miles traveled (millions),2012,12893.65174
New Hampshire,Licensed drivers,2012,1064604
New Hampshire,Highway vehicle-miles traveled (millions),2011,12719.52976
New Hampshire,Licensed drivers,2011,1056889
New Hampshire,Highway vehicle-miles traveled (millions),2010,13065.22025
New Hampshire,Licensed drivers,2010,1037083
New Jersey,Highway vehicle-miles traveled (millions),2021,73672.75741
New Jersey,Licensed drivers,2021,6461950
New Jersey,Highway vehicle-miles traveled (millions),2020,66341.14996
New Jersey,Licensed drivers,2020,6230912
New Jersey,Highway vehicle-miles traveled (millions),2019,78205.2972
New Jersey,Licensed drivers,2019,6377413
New Jersey,Highway vehicle-miles traveled (millions),2018,77538.91117
New Jersey,Licensed drivers,2018,6342876
New Jersey,Person miles (millions),2017,276452
New Jersey,Person trips (millions),2017,22578
New Jersey,Persons traveling (thousands),2017,17908
New Jersey,Highway vehicle-miles traveled (millions),2017,77508.60231
New Jersey,Licensed drivers,2017,6301363
New Jersey,Highway vehicle-miles traveled (millions),2016,77093
New Jersey,Licensed drivers,2016,6238436
New Jersey,Highway vehicle-miles traveled (millions),2015,75393.41931
New Jersey,Licensed drivers,2015,6179318
New Jersey,Highway vehicle-miles traveled (millions),2014,74856.38516
New Jersey,Licensed drivers,2014,6152634
New Jersey,Highway vehicle-miles traveled (millions),2013,74529.79194
New Jersey,Licensed drivers,2013,6081386
New Jersey,Highway vehicle-miles traveled (millions),2012,74225.3757
New Jersey,Licensed drivers,2012,6039623
New Jersey,Highway vehicle-miles traveled (millions),2011,73093.7711
New Jersey,Licensed drivers,2011,5977458
New Jersey,Highway vehicle-miles traveled (millions),2010,73027.65919
New Jersey,Licensed drivers,2010,5952583
New Mexico,Highway vehicle-miles traveled (millions),2021,26823.40324
New Mexico,Licensed drivers,2021,1477213
New Mexico,Highway vehicle-miles traveled (millions),2020,23756.4356
New Mexico,Licensed drivers,2020,1473219
New Mexico,Highway vehicle-miles traveled (millions),2019,27772.07505
New Mexico,Licensed drivers,2019,1449711
New Mexico,Highway vehicle-miles traveled (millions),2018,27288.30697
New Mexico,Licensed drivers,2018,1458433
New Mexico,Person miles (millions),2017,47032
New Mexico,Person trips (millions),2017,5330
New Mexico,Persons traveling (thousands),2017,3674
New Mexico,Highway vehicle-miles traveled (millions),2017,29680.1674
New Mexico,Licensed drivers,2017,1473262
New Mexico,Highway vehicle-miles traveled (millions),2016,27886
New Mexico,Licensed drivers,2016,1521785
New Mexico,Highway vehicle-miles traveled (millions),2015,27435.41838
New Mexico,Licensed drivers,2015,1467782
New Mexico,Highway vehicle-miles traveled (millions),2014,25347.19786
New Mexico,Licensed drivers,2014,1444857
New Mexico,Highway vehicle-miles traveled (millions),2013,25086.11077
New Mexico,Licensed drivers,2013,1456500
New Mexico,Highway vehicle-miles traveled (millions),2012,25561.64959
New Mexico,Licensed drivers,2012,1430475
New Mexico,Highway vehicle-miles traveled (millions),2011,25650.16525
New Mexico,Licensed drivers,2011,1418641
New Mexico,Highway vehicle-miles traveled (millions),2010,25273.67897
New Mexico,Licensed drivers,2010,1405926
New York,Highway vehicle-miles traveled (millions),2021,106869.759
New York,Licensed drivers,2021,11879057
New York,Highway vehicle-miles traveled (millions),2020,102476.8745
New York,Licensed drivers,2020,12194360
New York,Highway vehicle-miles traveled (millions),2019,123986.1543
New York,Licensed drivers,2019,12194360
New York,Highway vehicle-miles traveled (millions),2018,123510.3986
New York,Licensed drivers,2018,12194360
New York,Person miles (millions),2017,416126
New York,Person trips (millions),2017,44898
New York,Persons traveling (thousands),2017,37366
New York,Highway vehicle-miles traveled (millions),2017,123731.84
New York,Licensed drivers,2017,12185313
New York,Highway vehicle-miles traveled (millions),2016,122930
New York,Licensed drivers,2016,11947568
New York,Highway vehicle-miles traveled (millions),2015,127230.2144
New York,Licensed drivers,2015,11689839
New York,Highway vehicle-miles traveled (millions),2014,129263.0117
New York,Licensed drivers,2014,11318198
New York,Highway vehicle-miles traveled (millions),2013,129736.7468
New York,Licensed drivers,2013,11210783
New York,Highway vehicle-miles traveled (millions),2012,128220.5631
New York,Licensed drivers,2012,11248617
New York,Highway vehicle-miles traveled (millions),2011,127725.6673
New York,Licensed drivers,2011,11210783
New York,Highway vehicle-miles traveled (millions),2010,131252.0615
New York,Licensed drivers,2010,11285830
North Carolina,Highway vehicle-miles traveled (millions),2021,117734.4339
North Carolina,Licensed drivers,2021,7765109
North Carolina,Highway vehicle-miles traveled (millions),2020,106342.3654
North Carolina,Licensed drivers,2020,7637400
North Carolina,Highway vehicle-miles traveled (millions),2019,122474.654
North Carolina,Licensed drivers,2019,7620001
North Carolina,Highway vehicle-miles traveled (millions),2018,121127.2486
North Carolina,Licensed drivers,2018,7509231
North Carolina,Person miles (millions),2017,251358
North Carolina,Person trips (millions),2017,23152
North Carolina,Persons traveling (thousands),2017,18898
North Carolina,Highway vehicle-miles traveled (millions),2017,119176.3686
North Carolina,Licensed drivers,2017,7389467
North Carolina,Highway vehicle-miles traveled (millions),2016,116749
North Carolina,Licensed drivers,2016,7267042
North Carolina,Highway vehicle-miles traveled (millions),2015,111878.5688
North Carolina,Licensed drivers,2015,7160621
North Carolina,Highway vehicle-miles traveled (millions),2014,108012.1312
North Carolina,Licensed drivers,2014,7025333
North Carolina,Highway vehicle-miles traveled (millions),2013,105212.5578
North Carolina,Licensed drivers,2013,6822902
North Carolina,Highway vehicle-miles traveled (millions),2012,104949.9412
North Carolina,Licensed drivers,2012,6677693
North Carolina,Highway vehicle-miles traveled (millions),2011,103772.3593
North Carolina,Licensed drivers,2011,6569341
North Carolina,Highway vehicle-miles traveled (millions),2010,102384.9676
North Carolina,Licensed drivers,2010,6536601
North Dakota,Highway vehicle-miles traveled (millions),2021,9255.66642
